,日期,AQI
158,2018-06-08,45.94
159,2018-06-09,36.38
160,2018-06-10,50.305
161,2018-06-11,85.987
162,2018-06-12,113.356
163,2018-06-13,68.676
164,2018-06-14,57.179
165,2018-06-15,119.329
166,2018-06-16,104.623
167,2018-06-17,71.94
168,2018-06-18,106.654
169,2018-06-19,78.523
170,2018-06-20,67.815
171,2018-06-21,79.892
172,2018-06-22,87.445
173,2018-06-23,104.057
174,2018-06-24,98.611
175,2018-06-25,106.86
176,2018-06-26,159.721
177,2018-06-27,55.917
178,2018-06-28,35.627
179,2018-06-29,60.195
180,2018-06-30,80.346
181,2018-07-01,68.941
182,2018-07-02,67.991
183,2018-07-03,73.961
184,2018-07-04,92.424
185,2018-07-05,99.735
186,2018-07-06,75.562
187,2018-07-07,69.548
188,2018-07-08,70.425
189,2018-07-09,97.594
190,2018-07-10,48.407
191,2018-07-11,41.487
192,2018-07-12,45.946
193,2018-07-13,58.379
194,2018-07-14,68.882
195,2018-07-15,79.377
196,2018-07-16,43.833
197,2018-07-17,29.649
198,2018-07-18,98.012
199,2018-07-19,90.104
200,2018-07-20,108.205
201,2018-07-21,94.319
202,2018-07-22,67.711
203,2018-07-23,70.576
204,2018-07-24,28.513
205,2018-07-25,27.742
206,2018-07-26,40.083
207,2018-07-27,65.828
208,2018-07-28,78.785
209,2018-07-29,96.833
210,2018-07-30,98.25
211,2018-07-31,95.479
212,2018-08-01,88.917
213,2018-08-02,112.378
214,2018-08-03,80.895
215,2018-08-04,95.781
216,2018-08-05,61.996
217,2018-08-06,51.535
218,2018-08-07,78.237
219,2018-08-08,36.535
220,2018-08-09,44.415
221,2018-08-10,66.003
222,2018-08-11,66.932
223,2018-08-12,66.416
224,2018-08-13,60.417
225,2018-08-14,39.339
226,2018-08-15,34.537
227,2018-08-16,38.114
228,2018-08-17,68.304
229,2018-08-18,34.908
230,2018-08-19,39.145
231,2018-08-20,42.663
232,2018-08-21,38.148
233,2018-08-22,50.142
234,2018-08-23,43.889
235,2018-08-24,40.279
236,2018-08-25,63.86
237,2018-08-26,84.98
238,2018-08-27,95.853
239,2018-08-28,77.796
240,2018-08-29,37.442
241,2018-08-30,38.437
242,2018-08-31,38.84
243,2018-09-01,62.321
244,2018-09-02,54.838
245,2018-09-03,50.373
246,2018-09-04,26.169
247,2018-09-05,37.215
248,2018-09-06,38.47
249,2018-09-07,24.121
250,2018-09-08,32.037
251,2018-09-09,52.072
252,2018-09-10,68.143
253,2018-09-11,68.59
254,2018-09-12,64.89
255,2018-09-13,104.375
256,2018-09-14,128.808
257,2018-09-15,39.77
258,2018-09-16,32.742
259,2018-09-17,42.273
260,2018-09-18,52.711
261,2018-09-19,60.591
262,2018-09-20,71.274
263,2018-09-21,48.896
264,2018-09-22,29.94
265,2018-09-23,29.577
266,2018-09-24,32.686
267,2018-09-25,47.782
268,2018-09-26,55.481
269,2018-09-27,90.391
270,2018-09-28,78.451
271,2018-09-29,22.178
272,2018-09-30,25.305
273,2018-10-01,26.652
274,2018-10-02,35.599
275,2018-10-03,43.138
276,2018-10-04,72.518
277,2018-10-05,108.122
278,2018-10-06,32.17
279,2018-10-07,39.698
280,2018-10-08,42.167
281,2018-10-09,21.465
282,2018-10-10,28.036
283,2018-10-11,34.436
284,2018-10-12,69.022
285,2018-10-13,115.381
286,2018-10-14,189.212
287,2018-10-15,201.744
288,2018-10-16,87.473
289,2018-10-17,55.4
290,2018-10-18,56.702
291,2018-10-19,68.311
292,2018-10-20,93.437
293,2018-10-21,153.898
294,2018-10-22,167.975
295,2018-10-23,40.528
296,2018-10-24,77.903
297,2018-10-25,127.409
298,2018-10-26,47.987
299,2018-10-27,44.334
300,2018-10-28,37.104
301,2018-10-29,30.339
302,2018-10-30,42.522
303,2018-10-31,56.178
304,2018-11-01,88.766
305,2018-11-02,162.878
306,2018-11-03,213.594
307,2018-11-04,116.76
308,2018-11-05,38.069
309,2018-11-06,38.946
310,2018-11-07,59.032
311,2018-11-08,99.413
312,2018-11-09,68.238
313,2018-11-10,43.005
314,2018-11-11,75.446
315,2018-11-12,134.244
316,2018-11-13,223.396
317,2018-11-14,264.092
318,2018-11-15,93.94
319,2018-11-16,32.314
320,2018-11-17,77.005
321,2018-11-18,75.194
322,2018-11-19,90.7
323,2018-11-20,81.145
324,2018-11-21,46.035
325,2018-11-22,60.452
326,2018-11-23,99.234
327,2018-11-24,128.041
328,2018-11-25,132.231
329,2018-11-26,264.886
330,2018-11-27,185.722
331,2018-11-28,117.612
332,2018-11-29,105.938
333,2018-11-30,128.501
334,2018-12-01,175.716
335,2018-12-02,232.171
336,2018-12-03,186.127
337,2018-12-04,62.811
338,2018-12-05,79.455
339,2018-12-06,38.354
340,2018-12-07,36.746
341,2018-12-08,38.262
342,2018-12-09,72.495
343,2018-12-10,85.945
344,2018-12-11,54.157
345,2018-12-12,61.57
346,2018-12-13,42.93
347,2018-12-14,76.255
348,2018-12-15,131.03
349,2018-12-16,126.987
350,2018-12-17,51.188
351,2018-12-18,59.483
352,2018-12-19,66.97
353,2018-12-20,85.768
354,2018-12-21,104.331
355,2018-12-22,82.922
356,2018-12-23,49.917
357,2018-12-24,81.943
358,2018-12-25,66.882
359,2018-12-26,31.492
360,2018-12-27,47.578
361,2018-12-28,41.137
362,2018-12-29,35.315
363,2018-12-30,37.073
364,2018-12-31,62.362
365,2019-01-01,63.337
366,2019-01-02,76.482
367,2019-01-03,162.48
368,2019-01-04,57.741
369,2019-01-05,37.531
370,2019-01-06,93.06
371,2019-01-07,70.24
372,2019-01-08,33.398
373,2019-01-09,67.166
374,2019-01-10,114.172
375,2019-01-11,161.426
376,2019-01-12,261.265
377,2019-01-13,174.23
378,2019-01-14,178.3
379,2019-01-15,50.22
380,2019-01-16,64.116
381,2019-01-17,71.428
382,2019-01-18,101.537
383,2019-01-19,36.535
384,2019-01-20,32.838
385,2019-01-21,55.645
386,2019-01-22,61.57
387,2019-01-23,51.254
388,2019-01-24,81.107
389,2019-01-25,37.46
390,2019-01-26,40.616
391,2019-01-27,96.296
392,2019-01-28,56.558
393,2019-01-29,133.209
394,2019-01-30,76.498
395,2019-01-31,31.599
396,2019-02-01,75.237
397,2019-02-02,142.732
398,2019-02-03,123.354
399,2019-02-04,81.186
400,2019-02-05,170.335
401,2019-02-06,85.086
402,2019-02-07,34.211
403,2019-02-08,44.75
404,2019-02-09,25.436
405,2019-02-10,44.813
406,2019-02-11,60.188
407,2019-02-12,52.077
408,2019-02-13,42.062
409,2019-02-14,72.121
410,2019-02-15,31.547
411,2019-02-16,23.431
412,2019-02-17,29.0
413,2019-02-18,56.569
414,2019-02-19,141.857
415,2019-02-20,78.443
416,2019-02-21,132.874
417,2019-02-22,150.831
418,2019-02-23,176.142
419,2019-02-24,121.366
420,2019-02-25,77.248
421,2019-02-26,74.457
422,2019-02-27,114.637
423,2019-02-28,117.308
424,2019-03-01,167.555
425,2019-03-02,231.019
426,2019-03-03,209.299
427,2019-03-04,146.299
428,2019-03-05,119.914
429,2019-03-06,30.233
430,2019-03-07,42.578
431,2019-03-08,84.906
432,2019-03-09,110.041
433,2019-03-10,141.617
434,2019-03-11,60.76
435,2019-03-12,28.138
436,2019-03-13,32.792
437,2019-03-14,38.974
438,2019-03-15,45.556
439,2019-03-16,56.62
440,2019-03-17,75.206
441,2019-03-18,130.066
442,2019-03-19,160.659
443,2019-03-20,95.457
444,2019-03-21,30.898
445,2019-03-22,36.724
446,2019-03-23,36.478
447,2019-03-24,70.094
448,2019-03-25,59.648
449,2019-03-26,85.573
450,2019-03-27,102.652
451,2019-03-28,59.31
452,2019-03-29,79.238
453,2019-03-30,31.215
454,2019-03-31,37.381
455,2019-04-01,40.471
456,2019-04-02,58.525
457,2019-04-03,79.802
458,2019-04-04,111.11
459,2019-04-05,212.564
460,2019-04-06,137.727
461,2019-04-07,80.444
462,2019-04-08,64.756
463,2019-04-09,43.567
464,2019-04-10,44.105
465,2019-04-11,65.935
466,2019-04-12,84.938
467,2019-04-13,118.757
468,2019-04-14,59.917
469,2019-04-15,83.019
470,2019-04-16,98.763
471,2019-04-17,137.343
472,2019-04-18,127.17
473,2019-04-19,63.504
474,2019-04-20,63.499
475,2019-04-21,115.125
476,2019-04-22,132.348
477,2019-04-23,122.431
478,2019-04-24,64.318
479,2019-04-25,30.002
480,2019-04-26,38.202
481,2019-04-27,52.792
482,2019-04-28,63.168
483,2019-04-29,135.694
484,2019-04-30,97.492
485,2019-05-01,43.076
486,2019-05-02,59.011
487,2019-05-03,84.945
488,2019-05-04,82.326
489,2019-05-05,56.478
490,2019-05-06,45.663
491,2019-05-07,53.03
492,2019-05-08,74.305
493,2019-05-09,70.19
494,2019-05-10,88.565
495,2019-05-11,104.495
496,2019-05-12,161.65
497,2019-05-13,62.996
498,2019-05-14,86.559
499,2019-05-15,133.08
500,2019-05-16,105.61
501,2019-05-17,113.13
502,2019-05-18,52.352
503,2019-05-19,60.333
504,2019-05-20,44.567
505,2019-05-21,42.977
506,2019-05-22,56.048
507,2019-05-23,85.429
508,2019-05-24,89.169
509,2019-05-25,98.306
510,2019-05-26,59.848
511,2019-05-27,30.187
512,2019-05-28,41.899
513,2019-05-29,62.934
514,2019-05-30,50.929
515,2019-05-31,38.469
516,2019-06-01,64.801
517,2019-06-02,75.455
518,2019-06-03,62.935
519,2019-06-04,83.682
520,2019-06-05,74.224
521,2019-06-06,74.996
522,2019-06-07,84.279
523,2019-06-08,67.185
524,2019-06-09,30.408
525,2019-06-10,60.447
526,2019-06-11,92.637
527,2019-06-12,70.583
528,2019-06-13,59.319
529,2019-06-14,64.432
530,2019-06-15,60.655
531,2019-06-16,40.16
532,2019-06-17,71.132
533,2019-06-18,98.7
534,2019-06-19,105.516
535,2019-06-20,102.317
536,2019-06-21,83.911
537,2019-06-22,59.644
538,2019-06-23,91.125
539,2019-06-24,81.915
540,2019-06-25,96.505
541,2019-06-26,85.089
542,2019-06-27,86.528
543,2019-06-28,56.315
544,2019-06-29,41.943
