,日期,人数,页数,week
1033,2021-02-28,376.22,2687,7
1034,2021-02-27,481.54,2689,6
1035,2021-02-26,902.27,2691,5
1036,2021-02-25,869.29,2695,4
1037,2021-02-24,860.00,2697,3
1038,2021-02-23,845.49,2699,2
1039,2021-02-22,846.35,2700,1
1040,2021-02-21,397.79,2702,7
1041,2021-02-20,695.04,2704,6
1042,2021-02-19,700.76,2707,5
1043,2021-02-18,645.64,2709,4
1044,2021-02-17,316.21,2710,3
1046,2021-02-16,263.96,2714,2
1047,2021-02-15,313.46,2717,1
1048,2021-02-14,256.39,2720,7
1050,2021-02-13,250.29,2723,6
1051,2021-02-12,221.91,2725,5
1052,2021-02-11,180.21,2727,4
1053,2021-02-10,444.11,2732,3
1054,2021-02-09,557.06,2734,2
1055,2021-02-08,627.41,2735,1
1056,2021-02-07,618.17,2737,7
1057,2021-02-06,347.91,2739,6
1058,2021-02-05,738.56,2740,5
1059,2021-02-04,732.81,2743,4
1060,2021-02-03,738.83,2745,3
1061,2021-02-02,739.93,2747,2
1062,2021-02-01,739.98,2750,1
1063,2021-01-31,282.80,2752,7
1064,2021-01-30,334.51,2754,6
1065,2021-01-29,746.43,2755,5
1067,2021-01-28,718.90,2757,4
1069,2021-01-27,738.84,2760,3
1070,2021-01-26,735.6,2762,2
1071,2021-01-25,738.16,2764,1
1072,2021-01-24,256.70,2766,7
1073,2021-01-23,310.43,2768,6
1074,2021-01-22,771.26,2770,5
1075,2021-01-21,760.68,2772,4
1076,2021-01-20,791.65,2774,3
1077,2021-01-19,808.34,2776,2
1078,2021-01-18,819.36,2779,1
1079,2021-01-17,318.60,2782,7
1080,2021-01-16,377.66,2784,6
1081,2021-01-15,842.77,2786,5
1082,2021-01-14,815.81,2789,4
1084,2021-01-13,823.44,2792,3
1085,2021-01-12,836.13,2794,2
1086,2021-01-11,857.37,2796,1
1087,2021-01-10,333.58,2798,7
1088,2021-01-09,380.93,2799,6
1089,2021-01-08,873.11,2801,5
1092,2021-01-07,841.41,2803,4
1093,2021-01-06,842.79,2805,3
1094,2021-01-05,896.25,2806,2
1095,2021-01-04,907.54,2809,1
1097,2021-01-03,376.01,2811,7
1100,2021-01-02,353.02,2814,6
1101,2021-01-01,355.75,2816,5
1102,2020-12-31,,2818,4
1106,2020-12-30,878.05,2826,3
1107,2020-12-29,883.09,2829,2
1108,2020-12-28,911.29,2831,1
1112,2020-12-27,2.4661,2835,7
1115,2020-12-26,2.1739,2837,6
1117,2020-12-25,2.9127,2839,5
1125,2020-12-24,2.7119,2843,4
1127,2020-12-23,1018.27,2847,3
1129,2020-12-22,2.5418,2849,2
1131,2020-12-21,2.7919,2851,1
1134,2020-12-20,534.92,2853,7
1136,2020-12-19,2.8833,2855,6
1138,2020-12-18,3.5055,2856,5
1141,2020-12-17,2.7423,2858,4
1144,2020-12-16,2.7240,2862,3
1146,2020-12-15,2.6388,2863,2
1148,2020-12-14,2.7968,2867,1
1152,2020-12-13,541.68,2869,7
1151,2020-12-12,2.6532,2868,6
1154,2020-12-11,3.5183,2871,5
1157,2020-12-10,1037.52,2875,4
1159,2020-12-09,1047.87,2877,3
1161,2020-12-08,2.6967,2879,2
1163,2020-12-07,1049.93,2881,1
1165,2020-12-06,3.3946,2883,7
1167,2020-12-05,2.7677,2885,6
1171,2020-12-04,1113.30,2887,5
1178,2020-12-03,2.8630,2889,4
1182,2020-12-02,2.7513,2892,3
1185,2020-12-01,1045.40,2894,2
1187,2020-11-30,3.1654,2895,1
1191,2020-11-29,3.3989,2899,7
1192,2020-11-28,639.32,2899,6
1198,2020-11-27,1117.33,2903,5
1202,2020-11-26,1044.79,2906,4
1205,2020-11-25,3.1229,2909,3
1207,2020-11-24,1050.24,2910,2
1210,2020-11-23,3.3748,2912,1
1212,2020-11-22,3.7645,2914,7
1215,2020-11-21,592.35,2917,6
1219,2020-11-20,1126.96,2918,5
1225,2020-11-19,3.3396,2923,4
1229,2020-11-18,3.3238,2925,3
672,2020-11-17,1041.25,1897,2
1235,2020-11-16,1038.91,2930,1
1237,2020-11-15,3.8089,2931,7
1240,2020-11-14,655.44,2933,6
1246,2020-11-13,1116.74,2934,5
1253,2020-11-12,3.4152,2936,4
1256,2020-11-11,3.278,2937,3
1259,2020-11-10,1048.41,2939,2
1261,2020-11-09,3.6161,2940,1
1263,2020-11-08,3.8644,2941,7
1265,2020-11-07,674.20,2942,6
1269,2020-11-06,3.9545,2945,5
1277,2020-11-05,3.3409,2948,4
1279,2020-11-04,1049.48,2950,3
1280,2020-11-03,3.0032,2950,2
1282,2020-11-02,3.3259,2952,1
1284,2020-11-01,3.7277,2953,7
1287,2020-10-31,705.97,2956,6
1286,2020-10-30,3.9362,2955,5
1295,2020-10-29,3.3356,2962,4
1300,2020-10-28,3.2636,2963,3
1303,2020-10-27,3.1196,2966,2
1305,2020-10-26,1043.99,2968,1
1307,2020-10-25,3.6515,2969,7
1309,2020-10-24,680.42,2971,6
1311,2020-10-23,3.2296,2972,5
1324,2020-10-22,2.8458,2977,4
1327,2020-10-21,2.7122,2979,3
1330,2020-10-20,2.6967,2980,2
1333,2020-10-19,1034.2,2982,1
1336,2020-10-18,2.9576,2984,7
1339,2020-10-17,660.24,2985,6
1349,2020-10-16,1095.24,2987,5
1355,2020-10-15,2.8939,2989,4
1358,2020-10-14,2.8741,2991,3
1361,2020-10-13,1024.79,2993,2
1363,2020-10-12,3.0362,2996,1
1365,2020-10-11,3.1214,2997,7
1368,2020-10-10,972.08,2999,6
1373,2020-10-09,3.1575,3001,5
1375,2020-10-08,560.62,3003,4
1380,2020-10-07,546.43,3004,3
1386,2020-10-06,517.92,3008,2
1390,2020-10-05,3.3269,3009,1
1391,2020-10-04,3.3554,3009,7
1392,2020-10-03,3.2606,3009,6
1393,2020-10-02,3.1317,3009,5
1406,2020-10-01,3.7143,3015,4
1394,2020-09-30,3.8077,3010,3
1428,2020-09-29,1007.6,3028,2
1430,2020-09-28,997.56,3030,1
1432,2020-09-27,945.33,3032,7
1435,2020-09-26,586.00,3034,6
1436,2020-09-25,155.97,3035,5
1447,2020-09-24,995.65,3038,4
1448,2020-09-23,2.5717,3039,3
1452,2020-09-22,993.16,3042,2
1456,2020-09-21,991.22,3043,1
1460,2020-09-20,571.79,3045,7
1465,2020-09-19,2.7004,3047,6
1471,2020-09-18,3.0113,3050,5
1486,2020-09-17,990.55,3054,4
1489,2020-09-16,999.78,3055,3
1493,2020-09-15,967.96,3056,2
1495,2020-09-14,985.33,3057,1
1499,2020-09-13,546.25,3059,7
1502,2020-09-12,2.7676,3060,6
1508,2020-09-11,1015.64,3062,5
1511,2020-09-10,2.7617,3063,4
1526,2020-09-09,974.38,3067,3
1530,2020-09-08,2.6207,3069,2
1536,2020-09-07,967.48,3071,1
1534,2020-09-06,2.8312,3070,7
1539,2020-09-05,575.08,3073,6
1541,2020-09-04,3.0426,3074,5
1548,2020-09-03,934.65,3078,4
1550,2020-09-02,2.502,3079,3
1553,2020-09-01,922.99,3080,2
1558,2020-08-31,914.14,3082,1
1560,2020-08-30,2.6243,3084,7
1564,2020-08-29,538.51,3086,6
1567,2020-08-28,927.23,3087,5
1572,2020-08-27,2.2839,3089,4
1574,2020-08-26,903.36,3091,3
1575,2020-08-25,944.98,3092,2
1582,2020-08-24,903.68,3095,1
1580,2020-08-23,2.0328,3094,7
1586,2020-08-22,522.84,3097,6
1583,2020-08-21,900.88,3095,5
1597,2020-08-20,872.58,3102,4
1600,2020-08-19,869.05,3103,3
1604,2020-08-18,850.05,3105,2
1602,2020-08-17,1.9371,3104,1
1609,2020-08-16,430.95,3110,7
1611,2020-08-15,1.7817,3111,6
1616,2020-08-14,2.008,3113,5
1625,2020-08-13,1.8143,3115,4
1628,2020-08-12,1.1896,3116,3
1629,2020-08-11,1.6628,3116,2
1635,2020-08-10,838.08,3119,1
1640,2020-08-09,410.45,3121,7
1642,2020-08-08,1.6924,3122,6
1647,2020-08-07,1.8599,3123,5
1653,2020-08-06,807.08,3125,4
1656,2020-08-05,803.94,3126,3
1661,2020-08-04,813.41,3128,2
831,2020-08-03,819.16,2205,1
834,2020-08-02,385.38,2209,7
1670,2020-08-01,423.10,3132,6
1675,2020-07-31,1.6551,3133,5
1680,2020-07-30,1.3893,3135,4
1684,2020-07-29,1.3256,3136,3
1689,2020-07-28,1.2966,3137,2
1693,2020-07-27,1.3555,3138,1
1698,2020-07-26,362.77,3140,7
1699,2020-07-25,400.05,3141,6
1704,2020-07-24,778.44,3142,5
1709,2020-07-23,760.91,3144,4
1713,2020-07-22,760.18,3146,3
1714,2020-07-21,755.20,3147,2
1716,2020-07-20,748.57,3148,1
1721,2020-07-19,326.56,3150,7
1723,2020-07-18,354.18,3151,6
1724,2020-07-17,714.07,3151,5
1732,2020-07-16,697.81,3154,4
1735,2020-07-15,698.47,3155,3
1738,2020-07-14,691.91,3156,2
1739,2020-07-13,690.01,3157,1
1742,2020-07-12,265.02,3158,7
1743,2020-07-11,308.86,3159,6
1745,2020-07-10,648.95,3160,5
1752,2020-07-09,618.19,3162,4
1756,2020-07-08,626.29,3164,3
1758,2020-07-07,620.47,3166,2
1759,2020-07-06,616.49,3166,1
1760,2020-07-05,216.44,3167,7
1761,2020-07-04,253.23,3168,6
1764,2020-07-03,567.51,3169,5
1767,2020-07-02,560.83,3171,4
1769,2020-07-01,562.32,3172,3
1770,2020-06-30,549.48,3173,2
1771,2020-06-29,540.06,3174,1
1773,2020-06-28,498.64,3175,7
1774,2020-06-27,197.83,3176,6
1777,2020-06-26,202.18,3178,5
1782,2020-06-25,182.76,3178,4
1786,2020-06-24,513.50,3180,3
1791,2020-06-23,505.27,3182,2
1793,2020-06-22,507.88,3184,1
1795,2020-06-21,167.81,3185,7
1797,2020-06-20,200.49,3186,6
1799,2020-06-19,501.33,3187,5
1804,2020-06-18,502.03,3188,4
1806,2020-06-17,545.12,3190,3
1808,2020-06-16,595.72,3191,2
1810,2020-06-15,651.75,3192,1
1813,2020-06-14,1.3938,3193,7
1816,2020-06-13,1.544,3194,6
1666,2020-06-12,2020.6,3130,5
1825,2020-06-11,861.47,3196,4
1828,2020-06-10,1.881,3197,3
1830,2020-06-09,1.7185,3198,2
1832,2020-06-08,859.77,3199,1
1835,2020-06-07,401.93,3200,7
1837,2020-06-06,462.91,3201,6
1840,2020-06-05,1.7835,3202,5
1843,2020-06-04,1.5168,3204,4
1846,2020-06-03,834.67,3205,3
1849,2020-06-02,831.26,3207,2
1850,2020-06-01,1.4162,3208,1
1852,2020-05-31,0.9563,3209,7
1855,2020-05-30,419.09,3210,6
1854,2020-05-29,1.0716,3210,5
1857,2020-05-28,0.9653,3212,4
1859,2020-05-27,0.9488,3214,3
1861,2020-05-26,0.9331,3215,2
1863,2020-05-25,762.73,3216,1
1865,2020-05-24,370.04,3216,7
1866,2020-05-23,399.01,3217,6
1868,2020-05-22,0.9703,3218,5
1870,2020-05-21,731.24,3220,4
1871,2020-05-20,765.23,3222,3
1873,2020-05-19,747.87,3223,2
1874,2020-05-18,748.52,3224,1
1875,2020-05-17,336.24,3225,7
1876,2020-05-16,385.35,3226,6
1878,2020-05-15,0.8535,3226,5
1880,2020-05-14,0.8864,3228,4
1882,2020-05-13,712.11,3229,3
1884,2020-05-12,0.8144,3230,2
1886,2020-05-11,705.42,3231,1
1891,2020-05-10,318.09,3232,7
1892,2020-05-09,0.6871,3233,6
1896,2020-05-08,0.6995,3234,5
1898,2020-05-07,648.98,3235,4
1899,2020-05-06,643.18,3236,3
1900,2020-05-05,308.15,3237,2
1901,2020-05-04,293.92,3238,1
1902,2020-05-03,278.13,3239,7
1903,2020-05-02,281.70,3240,6
1904,2020-05-01,303.91,3240,5
1906,2020-04-30,567.75,3242,4
1907,2020-04-29,535.71,3244,3
1908,2020-04-28,529.61,3246,2
1909,2020-04-27,525.48,3247,1
1910,2020-04-26,467.43,3248,7
1911,2020-04-25,225.74,3249,6
1913,2020-04-24,499.40,3251,5
1914,2020-04-23,489.28,3252,4
1915,2020-04-22,485.85,3254,3
1916,2020-04-21,480.03,3255,2
1917,2020-04-20,482.46,3257,1
1919,2020-04-19,193.00,3258,7
1920,2020-04-18,235.62,3259,6
1921,2020-04-17,456.97,3260,5
1922,2020-04-16,448.95,3261,4
1923,2020-04-15,448.61,3262,3
1924,2020-04-14,445.27,3264,2
1925,2020-04-13,445.12,3265,1
1926,2020-04-12,183.36,3267,7
1927,2020-04-11,210.41,3269,6
1928,2020-04-10,418.95,3269,5
1930,2020-04-09,406.97,3272,4
1931,2020-04-08,413.19,3273,3
1932,2020-04-07,413.41,3274,2
1933,2020-04-06,178.97,3276,1
1934,2020-04-05,181.61,3278,7
1935,2020-04-04,173.83,3279,6
1936,2020-04-03,377.8,3281,5
1937,2020-04-02,369.97,3282,4
1938,2020-04-01,368.06,3284,3
1939,2020-03-31,355.15,3285,2
1940,2020-03-30,355.53,3286,1
1941,2020-03-29,138.40,3288,7
1942,2020-03-28,157.69,3289,6
1943,2020-03-27,319.83,3291,5
1944,2020-03-26,303.90,3293,4
1945,2020-03-25,313.82,3294,3
1946,2020-03-24,307.30,3295,2
1947,2020-03-23,310.55,3297,1
1948,2020-03-22,116.19,3298,7
1949,2020-03-21,130.36,3299,6
1950,2020-03-20,273.83,3300,5
1951,2020-03-19,265.44,3301,4
1952,2020-03-18,264.05,3302,3
1953,2020-03-17,264.06,3303,2
1954,2020-03-16,267.61,3304,1
1955,2020-03-15,95.59,3306,7
1957,2020-03-14,104.26,3307,6
1959,2020-03-13,232.24,3308,5
1960,2020-03-12,228.11,3310,4
1962,2020-03-11,227.88,3311,3
1964,2020-03-10,222.34,3312,2
1965,2020-03-09,221.45,3313,1
1966,2020-03-08,73.40,3315,7
1968,2020-03-07,83.84,3316,6
1970,2020-03-06,188.71,3317,5
1972,2020-03-05,186.62,3319,4
1974,2020-03-04,187.06,3320,3
1975,2020-03-03,185.16,3321,2
1977,2020-03-02,190.85,3322,1
1978,2020-03-01,67.58,3323,7
1980,2020-02-29,66.02,3324,6
1981,2020-02-28,147.99,3325,5
1983,2020-02-27,146.68,3327,4
1984,2020-02-26,0.3607,3327,3
1986,2020-02-25,146.96,3329,2
1987,2020-02-24,0.325,3329,1
1989,2020-02-23,0.3358,3331,7
1991,2020-02-22,57.39,3332,6
1993,2020-02-21,0.2528,3333,5
1995,2020-02-20,114.06,3335,4
1998,2020-02-19,114.38,3336,3
2000,2020-02-18,0.209,3336,2
2002,2020-02-17,0.2228,3338,1
2004,2020-02-16,51.50,3339,7
2006,2020-02-15,0.2094,3340,6
2008,2020-02-14,0.1769,3342,5
2010,2020-02-13,82.70,3344,4
2012,2020-02-12,82.52,3344,3
2015,2020-02-11,0.2184,3346,2
2017,2020-02-10,100.14,3347,1
2019,2020-02-09,0.3558,3348,7
2021,2020-02-08,51.99,3350,6
2024,2020-02-07,65.19,3351,5
2026,2020-02-06,0.3074,3352,4
2028,2020-02-05,0.3167,3354,3
2031,2020-02-04,65.87,3355,2
2030,2020-02-03,0.3596,3354,1
2034,2020-02-02,0.5842,3356,7
2036,2020-02-01,68.54,3359,6
2038,2020-01-31,69.50,3360,5
2040,2020-01-30,68.03,3361,4
2042,2020-01-29,66.18,3363,3
2043,2020-01-28,68.14,3364,2
2044,2020-01-27,75.49,3366,1
2046,2020-01-26,85.45,3368,7
2048,2020-01-25,97.02,3369,6
2050,2020-01-24,1.7156,3369,5
2052,2020-01-23,2.3805,3371,4
2054,2020-01-22,559.91,3372,3
2056,2020-01-21,805.8,3373,2
