,日期,人数,页数,week
2444,2019-05-16,1239.99,3476,4
2445,2019-05-15,1222.03,3476,3
2446,2019-05-14,1225.02,3476,2
2447,2019-05-13,1235.48,3477,1
2448,2019-05-12,724.39,3477,7
2449,2019-05-11,860.45,3477,6
2450,2019-05-10,1297.78,3477,5
2451,2019-05-09,1210.49,3477,4
2452,2019-05-08,1229.72,3477,3
2453,2019-05-07,1232.73,3477,2
2454,2019-05-06,1222.29,3478,1
2455,2019-05-05,1153.35,3478,7
2456,2019-05-04,777.01,3478,6
2457,2019-05-03,821.81,3478,5
2458,2019-05-02,894.38,3479,4
2459,2019-05-01,943.23,3479,3
2461,2019-04-30,1332.88,3479,2
2464,2019-04-29,1255.9,3480,1
2465,2019-04-28,1193.29,3480,7
2466,2019-04-27,772.9,3480,6
2467,2019-04-26,1335.01,3480,5
2468,2019-04-25,1278.15,3481,4
2469,2019-04-24,1220.32,3481,3
2470,2019-04-23,1251.98,3481,2
2471,2019-04-22,1255.35,3481,1
2473,2019-04-21,816.51,3482,7
2474,2019-04-20,817.02,3482,6
2475,2019-04-19,1324.22,3482,5
2476,2019-04-18,1264.99,3482,4
2477,2019-04-17,1263.21,3483,3
2478,2019-04-16,1266.83,3483,2
2479,2019-04-15,1260.52,3483,1
2481,2019-04-14,823.9,3483,7
2482,2019-04-13,877.62,3483,6
2483,2019-04-12,1307.24,3483,5
2485,2019-04-11,1244.9,3484,4
2486,2019-04-10,1241.28,3484,3
2487,2019-04-09,1178.05,3484,2
2488,2019-04-08,1225.57,3484,1
2489,2019-04-07,812.79,3485,7
2490,2019-04-06,866.83,3485,6
2491,2019-04-05,921.51,3485,5
2494,2019-04-04,1325.28,3486,4
2495,2019-04-03,1242.85,3486,3
2496,2019-04-02,1235.58,3486,2
2497,2019-04-01,1236.85,3486,1
2499,2019-03-31,788.81,3487,7
2500,2019-03-30,829.45,3487,6
2501,2019-03-29,1306.7,3487,5
2503,2019-03-28,1229.15,3487,4
2504,2019-03-27,1260.00,3487,3
2505,2019-03-26,1254.84,3488,2
2507,2019-03-25,1247.56,3488,1
2508,2019-03-24,833.56,3488,7
2506,2019-03-23,895.27,3488,6
2511,2019-03-22,1324.9,3488,5
2513,2019-03-21,1233.84,3488,4
2515,2019-03-20,1217.78,3489,3
2517,2019-03-19,1234.43,3489,2
2518,2019-03-18,1230.21,3489,1
2519,2019-03-17,802.82,3489,7
2521,2019-03-16,890.05,3490,6
2523,2019-03-15,1306.99,3490,5
2526,2019-03-14,1213.76,3490,4
2528,2019-03-13,1231.2,3491,3
2529,2019-03-12,1228.14,3491,2
2530,2019-03-11,1226.4,3491,1
2522,2019-03-10,750.18,3490,7
2532,2019-03-09,833.82,3492,6
2533,2019-03-08,1346.08,3492,5
2538,2019-03-07,1227.15,3493,4
2539,2019-03-06,1220.59,3494,3
2540,2019-03-05,1229.91,3494,2
2542,2019-03-04,1229.93,3494,1
2543,2019-03-03,763.7,3494,7
2545,2019-03-02,845.88,3495,6
2546,2019-03-01,1303.68,3495,5
2548,2019-02-28,1221.49,3496,4
2549,2019-02-27,1226.35,3496,3
2550,2019-02-26,1215.83,3496,2
2551,2019-02-25,1215.92,3497,1
2552,2019-02-24,746.5,3497,7
2553,2019-02-23,832.48,3498,6
2554,2019-02-22,1253.10,3498,5
2555,2019-02-21,1192.54,3499,4
2557,2019-02-20,1201.48,3499,3
2558,2019-02-19,1185.28,3499,2
2560,2019-02-18,1143.21,3500,1
2561,2019-02-17,656.91,3500,7
2562,2019-02-16,671.43,3501,6
2563,2019-02-15,1068.85,3501,5
2564,2019-02-14,1067.44,3501,4
2566,2019-02-13,984.17,3502,3
2567,2019-02-12,,3502,2
2568,2019-02-04,,3505,1
2569,2019-01-22,1200.78,3510,2
2571,2019-01-06,61.6,3515,7
2572,2019-01-04,1217.85,3515,5
2574,2018-12-30,,3517,7
2575,2018-12-25,,3519,2
2576,2018-12-24,,3520,1
2577,2018-12-22,,3521,6
2578,2018-12-21,,3521,5
2579,2018-12-15,,3523,6
2580,2018-12-03,1180.18,3525,1
2581,2018-12-01,786.3,3526,6
2582,2018-11-25,740.71,3527,7
2583,2018-11-23,1272.41,3528,5
2585,2018-11-10,845.69,3532,6
2586,2018-11-09,1292.6,3532,5
2587,2018-11-08,1208.43,3532,4
2588,2018-11-07,1208.53,3533,3
2589,2018-11-06,1210.78,3533,2
2590,2018-11-05,1213.95,3533,1
2591,2018-11-04,682.82,3533,7
2592,2018-11-03,828.58,3533,6
2593,2018-11-02,1303.49,3533,5
2594,2018-11-01,1226.04,3534,4
2595,2018-10-31,1227.66,3534,3
2596,2018-10-30,1229.86,3534,2
2597,2018-10-29,1228.82,3534,1
2598,2018-10-28,773.48,3534,7
2599,2018-10-27,878.46,3534,6
2600,2018-10-26,1311.9,3535,5
2601,2018-10-25,1236.66,3535,4
2602,2018-10-24,1248.41,3535,3
2604,2018-10-23,1249.56,3536,2
2605,2018-10-22,,3536,1
2606,2018-10-21,802.03,3536,7
2608,2018-10-20,889.75,3536,6
2607,2018-10-19,1320.73,3536,5
2610,2018-10-18,1251.77,3536,4
2611,2018-10-17,1249.68,3537,3
2612,2018-10-16,1235.34,3537,2
2613,2018-10-15,1228.88,3537,1
2614,2018-10-14,789.68,3537,7
2615,2018-10-13,868.06,3537,6
2616,2018-10-12,1294.11,3537,5
2617,2018-10-11,1223.64,3537,4
2620,2018-10-10,1200.64,3538,3
2621,2018-10-09,1180.69,3538,2
2622,2018-10-08,1144.8,3538,1
2623,2018-10-07,747.72,3538,7
2624,2018-10-06,724.91,3538,6
2625,2018-10-05,712.7,3539,5
2626,2018-10-04,741.39,3539,4
2627,2018-10-03,778.45,3539,3
2628,2018-10-02,806.93,3539,2
2631,2018-10-01,823.84,3540,1
2290,2018-09-30,1195.62,3439,7
2633,2018-09-29,1171.47,3540,6
2634,2018-09-28,1210.76,3540,5
2635,2018-09-27,1195.23,3540,4
2636,2018-09-26,1192.5,3540,3
2637,2018-09-25,1192.95,3541,2
2638,2018-09-24,782.6,3541,1
2311,2018-09-23,805.2,3444,7
2640,2018-09-22,864.09,3541,6
2641,2018-09-20,1216.1,3542,4
2642,2018-09-19,1213.96,3542,3
2643,2018-09-18,1200.01,3542,2
2644,2018-09-17,1202.76,3542,1
2645,2018-09-16,817.14,3542,7
2647,2018-09-15,852.11,3543,6
2648,2018-09-14,1257.38,3543,5
2649,2018-09-13,1193.12,3543,4
2650,2018-09-12,1206.52,3543,3
2651,2018-09-11,1202.3,3544,2
2652,2018-09-10,,3544,1
2653,2018-09-09,782.94,3544,7
2655,2018-09-08,842.86,3544,6
2657,2018-09-07,1268.6,3544,5
2658,2018-09-06,1202.43,3544,4
2659,2018-09-05,1212.59,3544,3
2660,2018-09-04,1194.6,3544,2
2322,2018-09-03,1191.75,3448,1
2662,2018-09-02,,3545,7
2663,2018-09-01,782.17,3545,6
2665,2018-08-31,1252.36,3545,5
2666,2018-08-30,1204.74,3545,4
2667,2018-08-29,1231.16,3545,3
2668,2018-08-28,1229.59,3545,2
2670,2018-08-27,1235.33,3545,1
2671,2018-08-26,782.01,3546,7
2672,2018-08-25,851.09,3546,6
2673,2018-08-24,1297.55,3546,5
2674,2018-08-23,1265.79,3546,4
2675,2018-08-22,1263.74,3546,3
2676,2018-08-21,1300.85,3547,2
2677,2018-08-20,1291.31,3547,1
2678,2018-08-19,797.1,3547,7
2679,2018-08-18,876.7,3547,6
2681,2018-08-17,1380.78,3547,5
2683,2018-08-16,1313.58,3547,4
2684,2018-08-15,1308.49,3548,3
2685,2018-08-14,1286.21,3548,2
2686,2018-08-13,1279.01,3548,1
2687,2018-08-12,782.71,3548,7
2688,2018-08-11,831.06,3548,6
2689,2018-08-10,1305.24,3548,5
2690,2018-08-09,1279.95,3549,4
2691,2018-08-08,1236.02,3549,3
2692,2018-08-07,1261.53,3549,2
2693,2018-08-06,1255.05,3549,1
2694,2018-08-05,725.65,3549,7
2696,2018-08-04,783.01,3550,6
2697,2018-08-03,1263.92,3550,5
2698,2018-08-02,1243.52,3550,4
2700,2018-08-01,1256.96,3550,3
2701,2018-07-31,1262.96,3550,2
2463,2018-04-28,1278.14,3479,6
